Date,FileName,Rcmarker,Category,Region,Count
10/31/23,pavpnutfas3003,pav::mcherry,pavmidbody_pnutstructure,TwoB,2
10/31/23,pavpnutfas3003,pav::mcherry,pavmidbody_pnutstructure,Three,1
10/31/23,pavpnutfas3003,pav::mcherry,pav_nonring_structure,TwoB,0
10/31/23,pavpnutfas3003,pav::mcherry,pav_nonring_structure,Three,0
10/31/23,pavpnutfas3004,pav::mcherry,pav_rings_only,TwoB,26
10/31/23,pavpnutfas3004,pav::mcherry,pav_rings_only,Three,24
10/31/23,pavpnutfas3004,pav::mcherry,pnut_rings_only,TwoB,6
10/31/23,pavpnutfas3004,pav::mcherry,pnut_rings_only,Three,0
10/31/23,pavpnutfas3004,pav::mcherry,pavrings_pnutrings,TwoB,13
10/31/23,pavpnutfas3004,pav::mcherry,pavrings_pnutrings,Three,5
10/31/23,pavpnutfas3004,pav::mcherry,pav_pnut_nonring,TwoB,0
10/31/23,pavpnutfas3004,pav::mcherry,pav_pnut_nonring,Three,0
10/31/23,pavpnutfas3004,pav::mcherry,pav_midbody_only,TwoB,2
10/31/23,pavpnutfas3004,pav::mcherry,pav_midbody_only,Three,3
10/31/23,pavpnutfas3004,pav::mcherry,pavmidbody_pnutstructure,TwoB,1
10/31/23,pavpnutfas3004,pav::mcherry,pavmidbody_pnutstructure,Three,2
10/31/23,pavpnutfas3004,pav::mcherry,pav_nonring_structure,TwoB,0
10/31/23,pavpnutfas3004,pav::mcherry,pav_nonring_structure,Three,0
10/31/23,pavpnutfas3005,pav::mcherry,pav_rings_only,TwoB,15
10/31/23,pavpnutfas3005,pav::mcherry,pav_rings_only,Three,12
10/31/23,pavpnutfas3005,pav::mcherry,pnut_rings_only,TwoB,1
10/31/23,pavpnutfas3005,pav::mcherry,pnut_rings_only,Three,0
10/31/23,pavpnutfas3005,pav::mcherry,pavrings_pnutrings,TwoB,3
10/31/23,pavpnutfas3005,pav::mcherry,pavrings_pnutrings,Three,1
10/31/23,pavpnutfas3005,pav::mcherry,pav_pnut_nonring,TwoB,0
10/31/23,pavpnutfas3005,pav::mcherry,pav_pnut_nonring,Three,0
10/31/23,pavpnutfas3005,pav::mcherry,pav_midbody_only,TwoB,0
10/31/23,pavpnutfas3005,pav::mcherry,pav_midbody_only,Three,0
10/31/23,pavpnutfas3005,pav::mcherry,pavmidbody_pnutstructure,TwoB,0
10/31/23,pavpnutfas3005,pav::mcherry,pavmidbody_pnutstructure,Three,0
10/31/23,pavpnutfas3005,pav::mcherry,pav_nonring_structure,TwoB,3
10/31/23,pavpnutfas3005,pav::mcherry,pav_nonring_structure,Three,0
10/31/23,pavpnutfas3006,pav::mcherry,pnut_rings_only,TwoB,22
10/31/23,pavpnutfas3006,pav::mcherry,pnut_rings_only,Three,18
10/31/23,pavpnutfas3006,pav::mcherry,pavrings_pnutrings,TwoB,2
10/31/23,pavpnutfas3006,pav::mcherry,pavrings_pnutrings,Three,0
10/31/23,pavpnutfas3006,pav::mcherry,pav_pnut_nonring,TwoB,11
10/31/23,pavpnutfas3006,pav::mcherry,pav_pnut_nonring,Three,7
10/31/23,pavpnutfas3006,pav::mcherry,pav_midbody_only,TwoB,0
10/31/23,pavpnutfas3006,pav::mcherry,pav_midbody_only,Three,0
10/31/23,pavpnutfas3006,pav::mcherry,pavmidbody_pnutstructure,TwoB,2
10/31/23,pavpnutfas3006,pav::mcherry,pavmidbody_pnutstructure,Three,3
10/31/23,pavpnutfas3006,pav::mcherry,pav_nonring_structure,TwoB,0
10/31/23,pavpnutfas3006,pav::mcherry,pav_nonring_structure,Three,0
